participant,session,date,expName,psychopyVersion,OS,frameRate,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,left,1,1.8351,,0,0,0,5,1,blue,red,left,0
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,down,1,0.3531,,0,1,1,2,1,green,green,down,1
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.447,,0,2,2,1,1,red,green,down,0
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,down,0,1.0395,,0,3,3,4,1,blue,blue,right,1
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.3165,,0,4,4,3,1,green,blue,right,0
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.1402,,0,5,5,0,1,red,red,left,1
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,right,1,0.1055,,1,0,6,4,1,blue,blue,right,1
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.1401,,1,1,7,1,1,red,green,down,0
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.0655,,1,2,8,2,1,green,green,down,1
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.2809,,1,3,9,5,1,blue,red,left,0
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.2593,,1,4,10,0,1,red,red,left,1
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,down,0,0.0373,,1,5,11,3,1,green,blue,right,0
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,down,1,0.3144,,2,0,12,1,1,red,green,down,0
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,right,0,1.4769,,2,1,13,0,1,red,red,left,1
demo,DEMO,2026-05-20_09h36.40.922,stroop,2023.1.3,MacIntel,59.88023952,down,0,0.398,,2,2,14,5,1,blue,red,left,0
